"Active Licenses","Permit Number","BAN","Permit Status","POE Class Code","License Type","DBA Name","Street Address","City","State","Point","analysis_neighborhood","supervisor_district","police_district","data_as_of","data_loaded_at"
"EHP","1190",,"Active",,,"Pizzelle di North Beach","314 COLUMBUS AVE","San Francisco","CA","POINT (-122.406858833 37.798025612)","North Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"EHP","1193","0945623","Active",,,"Lori's Diner","500 SUTTER ST","San Francisco","CA","POINT (-122.408883 37.789308)","Nob Hill","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1195","0464423","Active","P23","Place of Entertainment","The Battery","717 BATTERY ST","San Francisco","CA","POINT (-122.400954257 37.797866851)","Financial District/South Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, EHP","1196","0484679","Active","P23","Place of Entertainment","Luxx Lounge","60 6TH ST","San Francisco","CA","POINT (-122.4095985 37.781361)","South of Market","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1197","1104709","Active","P23","Place of Entertainment","Audio/Bergerac","316 11TH ST","San Francisco","CA","POINT (-122.413806 37.771371)","Mission","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1199","0369242","Active",,,"Tio Chilos Grill","2872 24TH ST","San Francisco","CA","POINT (-122.409783 37.752993)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, EHP","120","0926478","Active","P23","Place of Entertainment","1015 Folsom","1015 FOLSOM ST","San Francisco","CA","POINT (-122.4056925 37.778049)","South of Market","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1200","0484006","Active","P23","Place of Entertainment","Beluga","5323 GEARY BLVD","San Francisco","CA","POINT (-122.476462249 37.780374478)","Outer Richmond","1","RICHMOND","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1202","0465215","Active","P23","Place of Entertainment","Akiba","3141 CLEMENT ST","San Francisco","CA","POINT (-122.492845327 37.781634983)","Outer Richmond","1","RICHMOND","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1212","0456266","Active",,,"Etcetera Wine Bar","795 VALENCIA ST","San Francisco","CA","POINT (-122.42141808 37.760252775)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
